#csv_version,1.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#measurement,"{""schema_version"":""1.0.0"",""appPlatform"":""desktop"",""appVersion"":""1.5.0"",""owner"":{""first_name"":""Olarewaju"",""last_name"":""Lawal""},""data"":{""id"":15437,""name"":""InAir_11"",""measurement_type"":""take a smell"",""started_at"":""2023-11-24T04:06:08.770Z"",""stopped_at"":""2023-11-24T04:08:12.692Z"",""connection_type"":""usb"",""measurement_size"":""25"",""measurement_duration"":123,""fan_state"":3,""comment"":null,""device_info"":{""id"":586,""mac_address"":""7c:87:ce:f0:cd:c8"",""serial_number"":""SI2147-00048"",""board_id"":null,""device_type_info"":{""id"":1,""name"":""Smell Inspector"",""version"":""B1"",""is_contain_sensor_board"":false},""device_firmware_info"":{""id"":4,""name"":""SI-Firmware"",""version"":""2.1.1""},""board_info"":null,""detectors_info"":[{""id"":1742,""detector_position"":""X1"",""detector"":{""id"":1721,""batch_id"":""0000014"",""slot_id"":""07"",""production_detector_id"":""00138"",""detector_type"":{""id"":7,""name"":""Type1"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":1743,""detector_position"":""X2"",""detector"":{""id"":1722,""batch_id"":""0000015"",""slot_id"":""01"",""production_detector_id"":""00178"",""detector_type"":{""id"":8,""name"":""Type2"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":1744,""detector_position"":""X3"",""detector"":{""id"":1723,""batch_id"":""0000016"",""slot_id"":""02"",""production_detector_id"":""00030"",""detector_type"":{""id"":9,""name"":""Type3"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":1745,""detector_position"":""X4"",""detector"":{""id"":1724,""batch_id"":""0000013"",""slot_id"":""08"",""production_detector_id"":""00212"",""detector_type"":{""id"":10,""name"":""Type4"",""lower_bound"":0,""upper_bound"":350000}}}]},""measurement_substance_info"":[{""substance_info"":{""id"":2917,""category"":""Fruity"",""is_public"":false,""name"":""indoor"",""odor_name"":null,""taste_name"":null,""additional_information"":null,""parent_substance_id"":952,""parent_substance"":{""id"":952,""category"":null,""is_public"":true,""name"":""Other"",""odor_name"":null,""taste_name"":null,""additional_information"":null}},""concentration_value"":null,""concentration_unit"":null,""state"":null}],""measurement_events"":[],""measurement_setup_info"":null}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#fan_level,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#baseLevel|2023-11-24T04:06:10.990Z,664.3,484.1,57675.4,57645.3,57635.8,71632.4,71526.0,71483.5,1119929.1,1116314.5,1111515.9,616420.2,617133.4,618066.8,418.2,415.0,6983.6,8610.4,3676.1,3674.4,3674.5,3340.8,3339.8,3340.2,63260.0,63076.2,62971.9,53954.6,53939.0,53933.0,11048.8,11045.2,1877.8,1675.2,11036.1,11045.8,11058.1,84183.2,84236.0,84273.8,294188.6,293114.7,292653.3,38605.8,38624.9,38650.3,1544.2,1534.0,206.7,170.2,106311.0,105549.0,104864.6,46289.2,46196.1,46153.1,166678.1,168018.5,168798.2,313791.4,310312.6,307682.0,170.2,170.2,72.480003,24.610001
#header:timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,humidity,temperature
2023-11-24T04:06:10.990Z,664.3,484.1,57675.4,57645.3,57635.8,71632.4,71526.0,71483.5,1119929.1,1116314.5,1111515.9,616420.2,617133.4,618066.8,418.2,415.0,6983.6,8610.4,3676.1,3674.4,3674.5,3340.8,3339.8,3340.2,63260.0,63076.2,62971.9,53954.6,53939.0,53933.0,11048.8,11045.2,1877.8,1675.2,11036.1,11045.8,11058.1,84183.2,84236.0,84273.8,294188.6,293114.7,292653.3,38605.8,38624.9,38650.3,1544.2,1534.0,206.7,170.2,106311.0,105549.0,104864.6,46289.2,46196.1,46153.1,166678.1,168018.5,168798.2,313791.4,310312.6,307682.0,170.2,170.2,72.480003,24.610001
2023-11-24T04:06:13.808Z,664.4,484.1,57619.1,57616.5,57628.6,71602.4,71483.8,71416.5,1111957.5,1113752.0,1116356.4,618108.4,618287.2,617034.5,418.2,415.0,6982.2,8610.1,3676.2,3674.5,3674.4,3341.2,3339.7,3340.1,63222.6,63008.3,63247.8,53916.4,53873.1,53874.9,11047.5,11044.9,1877.8,1675.2,11035.2,11048.1,11060.3,84199.7,84113.2,84086.9,292610.4,293474.6,294403.4,38613.2,38623.4,38635.1,1544.2,1534.2,206.6,170.2,106385.4,105477.8,104802.3,46228.1,46112.6,46062.0,166959.3,167852.7,168259.7,310648.8,309543.2,309195.4,170.2,170.2,72.430000,24.610001
2023-11-24T04:06:16.604Z,664.3,484.1,57639.0,57630.1,57611.4,71555.0,71428.5,71391.7,1119147.2,1121587.0,1121110.4,616496.0,615537.0,615435.3,418.2,415.0,6980.7,8608.1,3675.5,3673.8,3674.3,3340.5,3339.3,3339.8,63137.0,63011.6,62978.4,53850.7,53818.8,53830.4,11049.4,11044.3,1877.6,1675.2,11036.9,11048.3,11056.6,84112.5,84083.7,84182.1,294341.5,294674.0,293723.2,38574.4,38582.1,38598.0,1544.3,1534.0,206.6,170.2,106199.3,105371.5,104846.9,46168.3,46130.9,46037.8,166461.2,167451.3,168398.3,313389.5,312099.5,309397.9,170.2,170.2,72.470001,24.629999
2023-11-24T04:06:19.411Z,664.3,484.1,57632.5,57599.8,57588.9,71582.4,71494.0,71444.2,1116339.6,1112849.9,1111455.9,615797.0,616856.3,617859.3,418.2,415.0,6982.9,8609.7,3675.7,3674.0,3674.1,3340.6,3339.6,3339.8,63120.6,63064.8,63027.7,53840.3,53830.0,53816.4,11047.6,11044.6,1877.8,1675.2,11032.6,11043.7,11054.8,84213.2,84241.1,84193.1,293531.4,292496.4,292398.9,38568.7,38588.1,38618.5,1544.1,1534.1,206.6,170.2,106326.4,105535.0,104767.8,46193.8,46062.0,46033.1,166602.9,167943.7,168664.6,312806.3,309165.2,306460.3,170.2,170.2,72.480003,24.600000
2023-11-24T04:06:22.218Z,664.4,484.1,57573.3,57567.2,57573.6,71514.5,71383.7,71329.6,1111524.2,1114357.5,1117796.1,617003.2,616901.0,616078.8,418.2,415.0,6982.8,8609.9,3675.7,3673.4,3674.1,3340.7,3339.5,3339.7,63023.1,62965.6,62905.2,53769.9,53741.9,53738.1,11047.8,11045.1,1877.7,1675.2,11034.3,11048.0,11059.3,84164.2,84150.8,84095.7,292020.5,292721.5,293609.6,38537.0,38546.6,38540.5,1544.1,1534.1,206.7,170.2,106305.6,105295.1,104631.5,46173.1,46080.7,46017.0,166766.5,167543.4,167910.4,310521.0,309695.3,308850.2,170.2,170.2,72.470001,24.610001
2023-11-24T04:06:25.025Z,664.4,484.1,57549.8,57562.0,57540.0,71463.9,71367.5,71328.5,1119533.9,1121171.5,1117779.4,614858.5,614149.8,615117.9,418.2,415.0,6982.5,8610.6,3675.5,3673.7,3674.1,3340.6,3339.3,3339.7,63111.6,63063.6,62984.4,53791.2,53781.5,53771.9,11048.8,11045.1,1877.6,1675.3,11035.9,11045.8,11054.8,84055.5,84155.8,84236.3,294068.0,293607.1,292753.3,38535.8,38561.6,38575.8,1544.3,1534.0,206.7,170.2,106185.4,105414.2,104829.4,46248.4,46076.1,46029.4,166256.8,167406.6,168287.6,314102.8,311811.3,309292.6,170.2,170.2,72.580002,24.600000
2023-11-24T04:06:27.832Z,664.3,484.1,57577.6,57566.9,57567.0,71556.9,71447.8,71392.3,1116134.9,1112619.4,1111549.0,615953.4,616673.9,616806.6,418.2,415.0,6983.4,8610.1,3675.8,3674.4,3674.7,3340.6,3339.5,3339.8,63251.3,63022.8,62911.7,53772.3,53753.3,53727.6,11048.2,11044.2,1877.8,1675.1,11032.5,11044.3,11055.8,84286.2,84213.1,84210.3,292458.1,291929.2,292630.9,38529.2,38549.7,38568.2,1544.1,1534.1,206.6,170.2,106338.2,105428.9,104690.2,46224.2,46057.7,46066.4,166798.2,168016.6,168482.1,311518.4,308872.7,308508.0,170.2,170.2,72.559998,24.629999
2023-11-24T04:06:30.639Z,664.3,484.1,57547.4,57551.3,57554.2,71504.4,71379.9,71321.7,1114228.5,1117161.6,1119834.5,616329.1,616153.9,614907.2,418.3,415.0,6980.6,8608.3,3675.7,3673.9,3674.3,3340.7,3339.5,3339.5,62971.7,62963.8,62900.7,53766.3,53757.6,53754.4,11046.7,11044.0,1877.7,1675.2,11034.5,11046.3,11055.0,84179.3,84070.4,84082.5,293085.8,293940.3,293947.4,38536.8,38546.3,38558.5,1544.3,1534.0,206.6,170.2,106093.6,105243.1,104651.2,46171.6,46044.1,46041.9,166529.5,167258.5,168085.1,312081.4,311314.6,310438.3,170.2,170.2,72.559998,24.610001
2023-11-24T04:06:33.457Z,664.4,484.1,57521.2,57498.9,57497.6,71405.7,71325.5,71288.1,1118622.4,1117238.9,1112756.2,613943.1,614736.2,615641.2,418.2,415.0,6980.8,8609.0,3675.9,3673.5,3674.6,3340.4,3339.2,3339.9,63000.8,62846.8,62826.8,53807.1,53779.0,53774.3,11046.1,11041.8,1877.8,1675.2,11032.6,11042.8,11052.6,84125.5,84199.5,84236.2,293217.4,292465.1,291786.9,38518.7,38534.6,38562.5,1544.2,1534.0,206.6,170.2,106073.7,105210.3,104610.1,46182.6,46048.4,45959.6,166532.4,167904.6,168575.3,312215.2,308948.7,306159.3,170.2,170.2,72.610001,24.610001
2023-11-24T04:06:36.252Z,664.3,484.1,57456.2,57452.7,57450.6,71349.0,71214.7,71166.4,1114280.6,1115185.0,1117986.8,615019.6,615510.9,614899.8,418.2,415.0,6981.3,8607.5,3675.9,3674.1,3674.1,3341.3,3339.2,3339.7,62910.8,62737.1,62680.7,53700.2,53662.7,53673.8,11045.5,11044.7,1877.8,1675.1,11031.4,11045.4,11056.7,84294.0,84248.1,84068.5,291407.3,292404.8,293009.1,38509.2,38517.1,38524.2,1544.1,1534.1,206.6,170.2,106051.8,105116.7,104478.4,46204.8,46058.6,46043.0,166693.0,167632.2,167964.8,309990.1,308889.6,308490.4,170.2,170.2,72.690002,24.610001
